Product Description,Product Name,ID,Unit Price,Category,Stock Quantity,Inventory Value,Photo's Link,Ingredients
Canned Goods,Rose Bowl Sardines Green 155g,000-061,₱20.00,Food,12,₱240.00,http://cdn.shopify.com/s/files/1/0421/2454/2105/products/683922101682_39a3e525-0303-4ee6-99b7-39df75588571.jpg?v=1628415878," Sardines, Tomato Sauce, Salt"
Canned Goods,Rose Bowl Sardines Red 155g,000-062,₱20.00,Food,12,₱240.00,https://cf.shopee.ph/file/fed3866abb17fc327cdcad91afaf7346," Sardines, Tomato Sauce, Chili, Salt"
Canned Goods,Young's Town Sardines Green Easy Open 155g,000-063,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0094/9354/5024/products/YOUNGSTOWN_SARDINES_IN_TOMATO_SAUCE_GREEN_PREMIUM_155G_300x300.png?v=1572150190,"Sardines, tomato sauce, fish oil , Iodized salt, spice, starch"
Canned Goods,Young's Town Sardines Red Easy Open 155g,000-064,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0094/9354/5024/products/full3_580x.jpg?v=1572150192,"Sardines, tomato sauce, fish oil , Iodized salt, spice, starch,chilli"
Canned Goods,Hokkaido Mackerel In Natural Oil 425g,000-065,₱60.00,Food,6,₱360.00,https://cf.shopee.ph/file/0ecaa7e6f3e2d726a2084a5990134f77,Mackerel in oil and salt.
Canned Goods,Saba Mackerel In Natural Oil White 155g,000-066,₱29.00,Food,8,₱232.00,http://cdn.shopify.com/s/files/1/0421/2454/2105/products/96785013038_c25462b6-03e7-4843-929f-226e2e145b60.jpg?v=1628415938,"Mackerel Water, Iodized Salt, Sugar, Spices"
Canned Goods,Saba Mackerel In Natural Oil White 200g,000-067,₱41.00,Food,5,₱205.00,https://cdn.shopify.com/s/files/1/0421/2454/2105/products/96785013120_9ea03d84-4b99-419b-b458-c58399822826_large.jpg?v=1628422401,"Mackerel Water, Iodized Salt, Sugar, Spices"
Canned Goods,Saba Mackerel In Natural Oil White 425g,000-068,₱63.00,Food,6,₱378.00,https://cdn.shopify.com/s/files/1/0368/0246/1836/products/SabaMackerelinNaturalOil425g.jpg?v=1597765092,"Mackerel Water, Iodized Salt, Sugar, Spices"
Canned Goods,Uni-Pak Mackerel In Natural Oil 425g,000-069,₱62.00,Food,3,₱186.00,https://fishersupermarket.ph/wp-content/uploads/2020/09/UNI44.png,"Mackerel, water, sugar, iodized salt, spices and monosodium glutamate (flavor enhancer)"
Canned Goods,555 Tuna Flakes Adobo 155g,000-070,₱24.00,Food,4,₱96.00,https://store.iloilosupermart.com/wp-content/uploads/2020/05/473-555-TUNA-ADOBO-155G.jpg,"TUNA FLAKES, WATER, SOY PROTEIN CONCENTRATE, SOY SAUCE (FERMENTED SOYBEAN, WHEAT, WATER, SALT), SOYBEAN OIL, VINEGAR, BROWN SUGAR, IODIZED SALT, THICKENERS (CORNSTARCH, TAPIOCA), SEASONINGS (GARLIC, BLACK PEPPER,GINGER), MONOSODIUM GLUTAMATE, BAY LEAF AND VITAMIN A."
Canned Goods,555 Tuna Flakes Afritada 155g,000-071,₱24.00,Food,4,₱96.00,https://bukidnon.shop/wp-content/uploads/2020/05/555-Tuna-Afritada-155g-01.jpg,"TUNE FLAKES, TOMATO SAUCE (WATER, TOMATO PASTE), POTATOES SOY PROTEIN CONCENTRATE, SOYBEAN OIL GREEN PASS, BROWN SUGAR, BELL PEPPER, SEASONINGS (ONION, GARLIC, PAPRIKA), IODIZED SALT, SOY SAUCE (FERMENTED SOYBEANS, WHEAT, WATER, SALT), MONOSODIUM GLUTAMATE AND VITAMIN A."
Canned Goods,555 Tuna Flakes Bicol Express 155g,000-072,₱24.00,Food,3,₱72.00,https://elako.ph/wp-content/uploads/2020/11/555-Tuna-Bicol-Express-155g.jpg,"Coconut milk, Tuna flakes, Soy Protein Concentrate, Soya oil, Sugar, Green Chilies, Salt, Starch, Titanium Dioxide, Seasonings ( shrimp powder, MSG), Chili and Vitamin A."
Canned Goods,555 Tuna Flakes Caldereta 155g,000-073,₱24.00,Food,4,₱96.00,https://bukidnon.shop/wp-content/uploads/2020/05/555-Tuna-Caldereta-155g-01.jpg,"TUNA FLAKES, TOMATO SAUCE (WATER, TOMATO PASTE), POTATOES, SOY PROTEIN CONCENTRATE, SOYBEAN OIL, CARROTS, GREEN PEAS, BROWN SUGAR, SOY SAUCE (FERMENTED SOYBEANS, WHEAT, WATER, SALT), CHEESE, SEASONINGS (GARLIC, ONION, BLACK PEPPER, BAY LEAF), IODIZED SALT, VINEGAR, CORNSTARCH, MONOSODIUM GLUTAMATE, ARTIFICIAL BEEF FLAVOR AND VITAMIN A."
Canned Goods,555 Tuna Flakes in Oil 155g,000-074,₱26.00,Food,15,₱390.00,https://store.iloilosupermart.com/wp-content/uploads/2020/05/129-1.jpg,"Tuna Flakes , Water Oil, Soy Protein Concentrate, Spices Thickeners (Cornstarch, Xanthan Gum 15) Monesodium Glutamate E621 and Salt."
Canned Goods,555 Tuna Flakes Hot & Spicy 155g,000-075,₱26.00,Food,6,₱156.00,https://www.zen.com.ph/wp-content/uploads/2020/08/555-Tuna-Flakes-Hot-Spicy-155g.jpg,"Tuna Flakes, Water, Soybean Oil, Seasonings (Chili, Onion, Garlic, Cinnamon, Ginger), Sugar, Salt, Thickeners (Cornstarch, Xanthan Gum), Bayleaf and Artificial Flavors (Tuna, Chicken)"
Canned Goods,555 Tuna Flakes Mechado 155g,000-076,₱24.00,Food,4,₱96.00,https://cdn.shopify.com/s/files/1/0358/1335/9748/products/555-canned-seafood-555-tuna-flakes-mechado-155g-15307363516548_800x.jpg?v=1605809531,"Tuna flakes, tomato sauce, potatoes, green peas, soya oil, soya protein, concetrate, sugar, carrots, vineager, iodized salt, starch, spices and seasonings"
Canned Goods,Century Tuna Flakes Hot & Spicy 155g,000-077,₱32.00,Food,6,₱192.00,https://cdn.shopify.com/s/files/1/0429/0900/8034/products/CENTURYTUNAFLAKESOILhotspicy155g.png?v=1603846062,"Tuna Flakes, Water, Soybean Oil, Seasonings (Chili, Onion, Garlic, Cinnamon, Ginger), Sugar, Salt, Thickeners (Cornstarch, Xanthan Gum), Bayleaf and Artificial Flavors (Tuna, Chicken). Contains: fish (tuna), soy."
Canned Goods,Century Tuna Flakes Hot & Spicy 180g,000-078,₱39.00,Food,4,₱156.00,https://sdcglobalchoice.com/wp-content/uploads/2021/06/hot-and-spicy-180g.jpg,"Tuna Flakes, Water, Soybean Oil, Seasonings (Chili, Onion, Garlic, Cinnamon, Ginger), Sugar, Salt, Thickeners (Cornstarch, Xanthan Gum), Bayleaf and Artificial Flavors (Tuna, Chicken). Contains: fish (tuna), soy."
Canned Goods,Century Tuna Flakes in Oil 155g,000-079,₱32.00,Food,24,₱768.00,https://mygroceryph.com/pub/media/catalog/product/cache/942fb7ebd8f124d7d8ad39312cbc983a/c/e/century_tuna_flakes_vegetable_oil_155g.png,"Tuna Flakes, Water, Soybean Oil, Seasonings (Garlic, Ginger, Onion, Cinnamon, Chili), Sugar, Salt, Thickeners (Cornstarch, Xanthan Gum), Whey Powder and Artificial Flavors (Tuna, Chicken). Contains: fish (tuna), soy, milk."
Canned Goods,Century Tuna Flakes in Oil 180g,000-080,₱39.00,Food,6,₱234.00,https://sukingpinoy.co.nz/wp-content/uploads/2020/09/Century-Tuna-Flakes-in-Vegetable-Oil-180g.jpg,"Tuna Flakes, Water, Soybean Oil, Seasonings (Garlic, Ginger, Onion, Cinnamon, Chili), Sugar, Salt, Thickeners (Cornstarch, Xanthan Gum), Whey Powder and Artificial Flavors (Tuna, Chicken). Contains: fish (tuna), soy, milk."
Canned Goods,San Marino Corned Tuna Chili 100g,000-081,₱25.00,Food,4,₱100.00,https://cf.shopee.ph/file/da27fa4c91e1c31094167a755c56caab,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili"
Canned Goods,San Marino Corned Tuna Chili 150g,000-082,₱35.00,Food,6,₱210.00,https://clt-enterprise.com/wp-content/uploads/2021/07/chili-corned-tuna-san-marino.jpg,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili"
Canned Goods,San Marino Corned Tuna Chili 180g,000-083,₱40.00,Food,3,₱120.00,https://cdn.shopify.com/s/files/1/0260/6877/9066/products/381805_32c2faf5-5706-4664-a0bb-36aa942c9280.jpg?v=1630408771,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili"
Canned Goods,San Marino Corned Red 100g,000-084,₱25.00,Food,5,₱125.00,https://fishersupermarket.ph/product/san-marino-corned-tuna-red-100g/,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili."
Canned Goods,San Marino Corned Red 150g,000-085,₱35.00,Food,8,₱280.00,https://freshmart.ph/products/san-marino-corned-tuna-150g,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili."
Canned Goods,San Marino Corned Red 180g,000-086,₱40.00,Food,2,₱80.00,https://cdn.shopify.com/s/files/1/0379/4249/3323/products/smct-180g-digital-300x215_480x480.png?v=1585888233,"Tuna, water, soybean oil, soy protein concentrate, cane sugar, iodized salt (salt and potassium iodide), onion, garlic, spices, monosodium glutamate (flavor enhancer), natural and artificial flavors, and chili."
Canned Goods,Argentina Corned Beef 100g,000-087,₱27.00,Food,4,₱108.00,https://store.iloilosupermart.com/wp-content/uploads/2020/05/461-ARGENTINA-CORNED-BEEF-100G.jpg,"COOKED CORNED BEEF (BEEF CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATES, SODIUM NITRITE), BEEF BROTH, BEEF TALLOW, SOY PROTEIN ISOLATE, TEXTURED SOY CONCENTRATE (CARAMEL COLOR ADDED), SALT, MONOSODIUM GLUTAMATE, FLAVOR (HYDROLYZED SOY PROTEIN, CORN PROTEIN, AND WHEAT GLUTEN, MEDIUM CHAIN TRIGLYCERIDES, SESAME OIL, YEAST EXTRACT), GARLIC POWDER, SUGAR, DEXTROSE SPICE ONION POWDER, XANTHAN GUM.'"
Canned Goods,Argentina Corned Beef 175g,000-088,₱41.00,Food,12,₱492.00,https://cdn.shopify.com/s/files/1/0355/0380/0453/products/Argentina-Corned-Beef-175g-500x500-product_popup.png?v=1593144101,"COOKED CORNED BEEF (BEEF CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATES, SODIUM NITRITE), BEEF BROTH, BEEF TALLOW, SOY PROTEIN ISOLATE, TEXTURED SOY CONCENTRATE (CARAMEL COLOR ADDED), SALT, MONOSODIUM GLUTAMATE, FLAVOR (HYDROLYZED SOY PROTEIN, CORN PROTEIN, AND WHEAT GLUTEN, MEDIUM CHAIN TRIGLYCERIDES, SESAME OIL, YEAST EXTRACT), GARLIC POWDER, SUGAR, DEXTROSE SPICE ONION POWDER, XANTHAN GUM.'"
Canned Goods,Argentina Corned Beef 150g,000-089,₱35.00,Food,20,₱700.00,https://cf.shopee.ph/file/e3f50a38871e07672c61817250ed101c,"COOKED CORNED BEEF (BEEF CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATES, SODIUM NITRITE), BEEF BROTH, BEEF TALLOW, SOY PROTEIN ISOLATE, TEXTURED SOY CONCENTRATE (CARAMEL COLOR ADDED), SALT, MONOSODIUM GLUTAMATE, FLAVOR (HYDROLYZED SOY PROTEIN, CORN PROTEIN, AND WHEAT GLUTEN, MEDIUM CHAIN TRIGLYCERIDES, SESAME OIL, YEAST EXTRACT), GARLIC POWDER, SUGAR, DEXTROSE SPICE ONION POWDER, XANTHAN GUM.'"
Canned Goods,Argentina Corned Beef 260g,000-090,₱57.00,Food,8,₱456.00,https://cf.shopee.ph/file/c4323656184a93c3750f807b5dc7f807,"COOKED CORNED BEEF (BEEF CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATES, SODIUM NITRITE), BEEF BROTH, BEEF TALLOW, SOY PROTEIN ISOLATE, TEXTURED SOY CONCENTRATE (CARAMEL COLOR ADDED), SALT, MONOSODIUM GLUTAMATE, FLAVOR (HYDROLYZED SOY PROTEIN, CORN PROTEIN, AND WHEAT GLUTEN, MEDIUM CHAIN TRIGLYCERIDES, SESAME OIL, YEAST EXTRACT), GARLIC POWDER, SUGAR, DEXTROSE SPICE ONION POWDER, XANTHAN GUM.'"
Canned Goods,Argentina Corned Chicken Regular 150g,000-091,₱35.00,Food,2,₱70.00,https://cf.shopee.ph/file/b0d47ca11e5cb35e269ff497e44892e9,"Cooked Corned Beef (beef Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Nitrite), Beef Broth, Beef Tallow, Soy Protein Isolate, Textured Soy Concentrate (caramel Color Added), Salt, Monosodium Glutamate, Flavor (hydrolyzed Soy Protein, Corn Protein, And Wheat Gluten, Medium Chain Triglycerides, Sesame Oil, Yeast Extract), Garlic Powder, Sugar, Dextrose Spice Onion Powder, Xanthan Gum."
